Timestamp,STG Gross Power (MW),HP Steam Inlet Flow (KPPH),HP Steam Inlet Pressure (PSIA),HP Steam Inlet Temperature (DEGF),LP Steam Inlet Flow (KPPH),LP Steam Inlet Pressure (PSIA),LP Steam Admin Temperature (DEGF),LP Steam Exhaust Pressure (PSIA),HP Flow Function,HP Isentropic Efficiency (%),LP Flow Function,LP Isentropic Efficiency (%)
2016-07-28,178.92068,1228.193,1018.2399,970.58276,287.1463,92.58849,441.33942,1.5935445,34352.13,91.90977,71165.18,69.68384
2016-07-29,163.15804,1129.5995,929.27515,948.99976,278.7743,85.72134,436.98984,1.5034387,34357.67,92.21193,74184.27,69.614975
2016-07-30,167.72537,1164.2048,957.35693,948.196,289.68387,88.3216,440.21008,1.5777286,34332.285,92.21758,74930.72,69.39576
2016-07-31,162.31142,1128.5929,928.0741,947.78986,279.7658,85.64302,437.0752,1.5434861,34354.523,92.117744,74510.44,69.469666
2016-08-01,164.06796,1135.6644,932.1203,945.1742,283.7132,86.17647,437.69452,1.4710833,34376.305,92.1903,75086.586,69.41988
2016-08-02,158.4858,1095.615,902.682,950.031,267.6116,82.9732,433.75912,1.4106683,34347.87,91.93584,73467.91,69.662636
2016-08-03,160.83911,1107.7034,911.3952,949.4727,272.43094,83.84149,434.9486,1.3465966,34377.98,92.27102,74057.41,69.15653
2016-08-04,161.53165,1112.6885,915.7976,949.4683,273.81638,84.24089,435.4878,1.3631078,34361.73,92.24255,74091.61,69.23949
2016-08-05,159.28653,1099.7872,906.11554,949.4051,269.9163,83.40984,434.27448,1.401573,34335.387,92.1495,73729.46,69.51376
2016-08-06,157.38252,1092.5905,901.0446,950.3235,267.3066,82.95612,433.57495,1.4815443,34320.824,92.14718,73388.14,69.54896
2016-08-07,160.31436,1104.4664,910.24524,949.80194,270.7211,83.76082,434.50754,1.3742254,34326.54,92.105515,73640.99,69.52252
2016-08-08,163.23251,1124.9332,926.58673,949.7295,276.38324,85.23814,436.3078,1.3917549,34327.668,92.09255,73923.445,69.37416
2016-08-09,165.18555,1142.0822,939.5911,949.22076,281.81216,86.47208,437.95654,1.4462265,34350.363,92.06658,74381.945,69.212616
2016-08-10,165.89215,1160.7407,954.2155,948.8934,287.92612,87.94381,439.96106,1.63305,34357.105,92.10768,74797.54,68.85315
2016-08-11,172.17157,1202.5397,993.5611,962.07837,287.17975,90.73806,440.7832,1.7030673,34353.668,91.93696,72464.28,68.79966
2016-08-12,170.74454,1196.1406,988.496,961.49475,285.96756,90.33353,440.3208,1.6979781,34342.68,91.97872,72481.31,68.402245
2016-08-13,169.67165,1185.233,981.1928,965.3676,279.2938,89.40097,438.60757,1.6712323,34348.793,91.99541,71486.08,68.58269
2016-08-14,160.49234,1127.4475,928.70654,950.1616,277.09317,85.4866,436.75275,1.5938708,34330.81,92.11268,73928.27,68.396996
2016-08-15,163.31372,1160.1722,954.39044,949.5552,272.20914,87.06908,443.9414,1.5498203,34344.438,98.506004,71607.91,65.75008
2016-08-16,156.80469,1089.14,899.4266,949.5625,265.634,82.50664,432.17578,1.4930074,34264.67,92.15998,73270.734,69.68103
2016-08-17,159.02086,1097.9203,903.9453,950.38873,266.2801,83.01752,432.27094,1.4083537,34376.395,92.03822,72975.97,69.830315
2016-08-18,163.91486,1130.5634,929.504,947.113,280.13248,85.765015,437.6511,1.4543184,34351.035,92.115395,74541.086,69.814476
2016-08-19,163.16492,1124.7516,925.41406,947.8285,277.77548,85.33489,436.9017,1.4391586,34340.664,92.066345,74263.08,69.85609
2016-08-20,159.29945,1100.8408,907.35876,950.08295,269.1275,83.48801,434.5481,1.4293419,34328.938,92.1081,73445.195,69.65751
2016-08-21,158.35243,1097.3778,903.9232,948.5341,269.62006,83.3112,434.31644,1.4470217,34332.453,92.06248,73737.39,69.56522
2016-08-22,162.09335,1110.9894,912.97186,944.76044,275.79907,84.29707,435.85754,1.3269266,34349.68,92.067085,74607.03,69.8986
